run_id,scenario_seed,strategy,defender_count,attacker_count,attacker_bucket,kills,breaches,success,completion_time_s,kill_ratio
0,383329927,optimized,4,11,11-15,2,1,0,28.00,0.1818
0,383329927,nearest,4,11,11-15,2,1,0,28.00,0.1818
0,383329927,earliest_deadline,4,11,11-15,0,1,0,28.00,0.0000
1,3324115916,optimized,4,20,16-20,3,1,0,29.00,0.1500
1,3324115916,nearest,4,20,16-20,3,1,0,29.00,0.1500
1,3324115916,earliest_deadline,4,20,16-20,0,1,0,29.00,0.0000
2,2811363264,optimized,3,13,11-15,1,1,0,25.25,0.0769
2,2811363264,nearest,3,13,11-15,1,1,0,25.25,0.0769
2,2811363264,earliest_deadline,3,13,11-15,0,1,0,25.25,0.0000
3,1884968544,optimized,2,11,11-15,1,1,0,27.50,0.0909
3,1884968544,nearest,2,11,11-15,1,1,0,27.50,0.0909
3,1884968544,earliest_deadline,2,11,11-15,0,1,0,27.50,0.0000
4,1859786275,optimized,5,8,5-10,1,1,0,29.75,0.1250
4,1859786275,nearest,5,8,5-10,1,1,0,29.75,0.1250
4,1859786275,earliest_deadline,5,8,5-10,0,1,0,29.75,0.0000
5,3687649985,optimized,5,19,16-20,4,1,0,29.25,0.2105
5,3687649985,nearest,5,19,16-20,3,1,0,29.25,0.1579
5,3687649985,earliest_deadline,5,19,16-20,0,1,0,29.25,0.0000
6,369133708,optimized,5,8,5-10,0,1,0,31.75,0.0000
6,369133708,nearest,5,8,5-10,0,1,0,31.75,0.0000
6,369133708,earliest_deadline,5,8,5-10,0,1,0,31.75,0.0000
7,2995172877,optimized,2,5,5-10,1,1,0,27.50,0.2000
7,2995172877,nearest,2,5,5-10,1,1,0,27.50,0.2000
7,2995172877,earliest_deadline,2,5,5-10,0,1,0,27.50,0.0000
8,865305066,optimized,3,7,5-10,0,1,0,25.75,0.0000
8,865305066,nearest,3,7,5-10,0,1,0,25.75,0.0000
8,865305066,earliest_deadline,3,7,5-10,0,1,0,25.75,0.0000
9,404488628,optimized,5,14,11-15,5,1,0,33.50,0.3571
9,404488628,nearest,5,14,11-15,5,1,0,33.50,0.3571
9,404488628,earliest_deadline,5,14,11-15,2,1,0,33.50,0.1429
10,2261209995,optimized,2,16,16-20,1,1,0,25.50,0.0625
10,2261209995,nearest,2,16,16-20,0,1,0,25.50,0.0000
10,2261209995,earliest_deadline,2,16,16-20,0,1,0,25.50,0.0000
11,4190266092,optimized,2,18,16-20,3,1,0,37.00,0.1667
11,4190266092,nearest,2,18,16-20,4,1,0,37.00,0.2222
11,4190266092,earliest_deadline,2,18,16-20,1,1,0,37.00,0.0556
12,3160032368,optimized,4,10,5-10,0,1,0,28.50,0.0000
12,3160032368,nearest,4,10,5-10,0,1,0,28.50,0.0000
12,3160032368,earliest_deadline,4,10,5-10,0,1,0,28.50,0.0000
13,3269070126,optimized,2,17,16-20,0,1,0,24.00,0.0000
13,3269070126,nearest,2,17,16-20,0,1,0,24.00,0.0000
13,3269070126,earliest_deadline,2,17,16-20,0,1,0,24.00,0.0000
14,3081541439,optimized,2,17,16-20,1,1,0,24.50,0.0588
14,3081541439,nearest,2,17,16-20,1,1,0,24.50,0.0588
14,3081541439,earliest_deadline,2,17,16-20,0,1,0,24.50,0.0000
15,3376120482,optimized,5,14,11-15,1,1,0,24.50,0.0714
15,3376120482,nearest,5,14,11-15,1,1,0,24.50,0.0714
15,3376120482,earliest_deadline,5,14,11-15,0,1,0,24.50,0.0000
16,2204291346,optimized,2,20,16-20,1,1,0,26.25,0.0500
16,2204291346,nearest,2,20,16-20,1,1,0,26.25,0.0500
16,2204291346,earliest_deadline,2,20,16-20,0,1,0,26.25,0.0000
17,550243861,optimized,2,11,11-15,1,1,0,28.75,0.0909
17,550243861,nearest,2,11,11-15,1,1,0,28.75,0.0909
17,550243861,earliest_deadline,2,11,11-15,0,1,0,28.75,0.0000
18,3606691181,optimized,3,8,5-10,1,1,0,27.25,0.1250
18,3606691181,nearest,3,8,5-10,1,1,0,27.25,0.1250
18,3606691181,earliest_deadline,3,8,5-10,0,1,0,27.25,0.0000
19,1934392872,optimized,4,9,5-10,0,1,0,30.50,0.0000
19,1934392872,nearest,4,9,5-10,0,1,0,30.50,0.0000
19,1934392872,earliest_deadline,4,9,5-10,0,1,0,30.50,0.0000
20,2148995112,optimized,4,20,16-20,1,1,0,26.25,0.0500
20,2148995112,nearest,4,20,16-20,1,1,0,26.25,0.0500
20,2148995112,earliest_deadline,4,20,16-20,0,1,0,26.25,0.0000
21,1592565386,optimized,4,14,11-15,2,1,0,25.50,0.1429
21,1592565386,nearest,4,14,11-15,2,1,0,25.50,0.1429
21,1592565386,earliest_deadline,4,14,11-15,0,1,0,25.50,0.0000
22,784044718,optimized,2,13,11-15,2,1,0,27.25,0.1538
22,784044718,nearest,2,13,11-15,2,1,0,27.25,0.1538
22,784044718,earliest_deadline,2,13,11-15,0,1,0,27.25,0.0000
23,3980425317,optimized,4,14,11-15,0,1,0,24.75,0.0000
23,3980425317,nearest,4,14,11-15,0,1,0,24.75,0.0000
23,3980425317,earliest_deadline,4,14,11-15,0,1,0,24.75,0.0000
24,3356806661,optimized,3,9,5-10,2,1,0,30.75,0.2222
24,3356806661,nearest,3,9,5-10,2,1,0,30.75,0.2222
24,3356806661,earliest_deadline,3,9,5-10,0,1,0,30.75,0.0000
25,2765379632,optimized,2,17,16-20,2,1,0,33.00,0.1176
25,2765379632,nearest,2,17,16-20,2,1,0,33.00,0.1176
25,2765379632,earliest_deadline,2,17,16-20,0,1,0,33.00,0.0000
26,1728356533,optimized,2,6,5-10,1,1,0,32.25,0.1667
26,1728356533,nearest,2,6,5-10,1,1,0,32.25,0.1667
26,1728356533,earliest_deadline,2,6,5-10,1,1,0,32.25,0.1667
27,3533734220,optimized,4,15,11-15,2,1,0,28.75,0.1333
27,3533734220,nearest,4,15,11-15,2,1,0,28.75,0.1333
27,3533734220,earliest_deadline,4,15,11-15,0,1,0,28.75,0.0000
28,2342600226,optimized,4,13,11-15,2,1,0,30.00,0.1538
28,2342600226,nearest,4,13,11-15,2,1,0,30.00,0.1538
28,2342600226,earliest_deadline,4,13,11-15,1,1,0,30.00,0.0769
29,1904449481,optimized,2,9,5-10,2,1,0,39.75,0.2222
29,1904449481,nearest,2,9,5-10,2,1,0,39.75,0.2222
