strategy,defense_drones,attack_5_10,attack_11_15,attack_16_20
earliest_deadline,2,0.0748,0.0,0.0
earliest_deadline,3,0.2911,0.0,0.0
earliest_deadline,4,0.4074,0.0405,0.0
earliest_deadline,5,0.6207,0.0435,0.0
earliest_deadline_collab,2,0.1215,0.0,0.0
earliest_deadline_collab,3,0.443,0.0,0.0
earliest_deadline_collab,4,0.6574,0.0676,0.0
earliest_deadline_collab,5,0.8161,0.163,0.0135
earliest_deadline_global,2,0.1028,0.0,0.0
earliest_deadline_global,3,0.2911,0.0,0.0
earliest_deadline_global,4,0.4444,0.0135,0.0
earliest_deadline_global,5,0.6782,0.0761,0.0
nearest,2,0.1028,0.0,0.0
nearest,3,0.3038,0.0,0.0
nearest,4,0.3333,0.027,0.0
nearest,5,0.5632,0.0435,0.0
nearest_collab,2,0.1589,0.0,0.0
nearest_collab,3,0.4304,0.0139,0.0
nearest_collab,4,0.5278,0.0541,0.0
nearest_collab,5,0.7011,0.1848,0.0135
nearest_global,2,0.1308,0.0,0.0
nearest_global,3,0.2658,0.0,0.0
nearest_global,4,0.3704,0.027,0.0
nearest_global,5,0.4713,0.0326,0.0
optimized,2,0.1121,0.0,0.0
optimized,3,0.3291,0.0,0.0
optimized,4,0.3241,0.027,0.0
optimized,5,0.5747,0.0652,0.0
optimized_collab,2,0.1776,0.0,0.0
optimized_collab,3,0.443,0.0,0.0
optimized_collab,4,0.6019,0.1081,0.0
optimized_collab,5,0.7586,0.25,0.027
optimized_global,2,0.1963,0.0,0.0
optimized_global,3,0.5316,0.0,0.0
optimized_global,4,0.7037,0.0946,0.0
optimized_global,5,0.9195,0.2283,0.0405
