strategy,defender_count,attacker_bucket,runs,success_rate,avg_kills,avg_breaches,median_completion_time_s
earliest_deadline,2,11-15,86,0.0,0.326,1.023,28.5
earliest_deadline,2,16-20,70,0.0,0.171,1.0,27.625
earliest_deadline,2,5-10,107,0.0,0.533,1.019,30.75
earliest_deadline,3,11-15,72,0.0,0.736,1.0,27.5
earliest_deadline,3,16-20,71,0.0,0.394,1.028,27.0
earliest_deadline,3,5-10,79,0.0127,0.848,1.0,30.0
earliest_deadline,4,11-15,74,0.0,0.811,1.041,28.75
earliest_deadline,4,16-20,80,0.0,0.65,1.012,27.75
earliest_deadline,4,5-10,108,0.037,1.269,0.972,30.25
earliest_deadline,5,11-15,92,0.0,0.815,1.011,28.0
earliest_deadline,5,16-20,74,0.0,0.676,1.014,27.25
earliest_deadline,5,5-10,87,0.0575,1.161,0.966,29.25
earliest_deadline_global,2,11-15,86,0.0,0.279,1.012,28.5
earliest_deadline_global,2,16-20,70,0.0,0.2,1.0,27.625
earliest_deadline_global,2,5-10,107,0.0,0.673,1.019,30.75
earliest_deadline_global,3,11-15,72,0.0,0.583,1.0,27.5
earliest_deadline_global,3,16-20,71,0.0,0.38,1.028,27.0
earliest_deadline_global,3,5-10,79,0.0253,0.924,0.975,30.0
earliest_deadline_global,4,11-15,74,0.0,0.851,1.041,28.75
earliest_deadline_global,4,16-20,80,0.0,0.6,1.012,27.75
earliest_deadline_global,4,5-10,108,0.0278,1.13,0.981,30.25
earliest_deadline_global,5,11-15,92,0.0,0.859,1.0,28.0
earliest_deadline_global,5,16-20,74,0.0,0.635,1.014,27.25
earliest_deadline_global,5,5-10,87,0.0345,1.264,0.989,29.25
nearest,2,11-15,86,0.0,1.349,1.023,28.5
nearest,2,16-20,70,0.0,1.271,1.0,27.625
nearest,2,5-10,107,0.0,1.262,1.028,30.5
nearest,3,11-15,72,0.0,1.667,1.014,27.5
nearest,3,16-20,71,0.0,1.775,1.056,27.0
nearest,3,5-10,79,0.038,1.595,0.975,30.0
nearest,4,11-15,74,0.0,1.986,1.027,28.75
nearest,4,16-20,80,0.0,1.962,1.012,27.75
nearest,4,5-10,108,0.037,1.796,0.972,30.25
nearest,5,11-15,92,0.0,1.837,1.011,28.0
nearest,5,16-20,74,0.0,2.122,1.014,27.25
nearest,5,5-10,87,0.0575,1.713,0.966,29.25
nearest_global,2,11-15,86,0.0,1.477,1.023,28.5
nearest_global,2,16-20,70,0.0,1.271,1.0,27.625
nearest_global,2,5-10,107,0.0093,1.486,1.019,30.5
nearest_global,3,11-15,72,0.0,1.778,1.014,27.5
nearest_global,3,16-20,71,0.0,1.887,1.042,27.0
nearest_global,3,5-10,79,0.0127,1.747,1.0,30.0
nearest_global,4,11-15,74,0.0,2.419,1.027,28.75
nearest_global,4,16-20,80,0.0,2.55,1.012,27.75
nearest_global,4,5-10,108,0.0185,2.231,1.0,30.0
nearest_global,5,11-15,92,0.0,2.511,1.022,28.0
nearest_global,5,16-20,74,0.0,2.568,1.014,27.25
nearest_global,5,5-10,87,0.046,1.954,0.977,29.25
optimized,2,11-15,86,0.0,1.337,1.023,28.5
optimized,2,16-20,70,0.0,1.314,1.0,27.625
optimized,2,5-10,107,0.0,1.28,1.028,30.5
optimized,3,11-15,72,0.0,1.639,1.014,27.5
optimized,3,16-20,71,0.0,1.803,1.056,27.0
optimized,3,5-10,79,0.038,1.62,0.975,30.0
optimized,4,11-15,74,0.0,2.0,1.027,28.75
optimized,4,16-20,80,0.0,1.962,1.012,27.75
optimized,4,5-10,108,0.037,1.806,0.972,30.25
optimized,5,11-15,92,0.0,1.859,1.011,28.0
optimized,5,16-20,74,0.0,2.135,1.014,27.25
optimized,5,5-10,87,0.0575,1.713,0.966,29.25
optimized_global,2,11-15,86,0.0,1.616,1.023,28.5
optimized_global,2,16-20,70,0.0,1.371,1.0,27.625
optimized_global,2,5-10,107,0.0093,1.57,1.019,30.75
optimized_global,3,11-15,72,0.0,1.875,1.014,27.5
optimized_global,3,16-20,71,0.0,1.944,1.028,27.0
optimized_global,3,5-10,79,0.0633,1.937,0.937,30.0
optimized_global,4,11-15,74,0.0,2.797,1.027,28.75
optimized_global,4,16-20,80,0.0,2.85,1.012,27.75
optimized_global,4,5-10,108,0.0648,2.361,0.954,30.125
optimized_global,5,11-15,92,0.0,2.87,1.011,28.0
optimized_global,5,16-20,74,0.0,2.946,1.014,27.25
optimized_global,5,5-10,87,0.1494,2.414,0.874,29.25
